id,url,english_text,texts
transcript_550-1,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/1.mp3,Hello.,"[""سلام."", ""سَلام."", ""salaam.""]"
transcript_550-2,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/2.mp3,Hello.,"[""سلام."", ""سَلام."", ""salaam.""]"
transcript_550-3,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/3.mp3,How are you? Are you fine?,"[""چطوری؟ خوبی؟"", ""چِطوری؟ خوبی؟"", ""chetori? khoobi?""]"
transcript_550-4,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/4.mp3,"I'm fine, how about you?","[""من خوبم. تو خوبی؟"", ""مَن خوبَم. تُو خوبی؟"", ""man khoobam. to khoobi?""]"
transcript_550-5,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/5.mp3,I'm fine too. See you tomorrow.,"[""من هم خوبم. فردا می بینمت."", ""مَن هَم خوبَم. فَردا می بینَمِت."", ""man ham khoobam. fardaa mibinamet.""]"
transcript_550-6,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/6.mp3,Bye.,"[""خداحافظ."", ""خُداحافِظ."", ""khodaahaafez.""]"
116954,https://d1pra95f92lrn3.cloudfront.net/audio/116954.mp3,good,"[""خوب""]"
vocabulary-sample-3459,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3459.mp3,I feel good.,"[""احساس خوبی دارم.""]"
vocabulary-sample-2092,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2092.mp3,He's a good teacher.,"[""او معلم خوبی است.""]"
vocabulary-1747,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/1747.mp3,"I, me","[""من""]"
vocabulary-sample-1568,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1568.mp3,I have never seen such a thing.,"[""من تا حالا چنین چیزی ندیدم.""]"
vocabulary-sample-1565,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1565.mp3,"""Don't take photos of me.""","[""از من عکس نگیر.""]"
