id,text,english_text,url
transcript_550-1,سلام.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/1.mp3
transcript_550-2,سلام.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/2.mp3
transcript_550-3,چطوری؟ خوبی؟,How are you? Are you fine?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/3.mp3
transcript_550-4,من خوبم. تو خوبی؟,"I'm fine, how about you?",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/4.mp3
transcript_550-5,من هم خوبم. فردا می بینمت.,I'm fine too. See you tomorrow.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/5.mp3
transcript_550-6,خداحافظ.,Bye.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/6.mp3
transcript_550-1,سَلام.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/1.mp3
transcript_550-2,سَلام.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/2.mp3
transcript_550-3,چِطوری؟ خوبی؟,How are you? Are you fine?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/3.mp3
transcript_550-4,مَن خوبَم. تُو خوبی؟,"I'm fine, how about you?",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/4.mp3
transcript_550-5,مَن هَم خوبَم. فَردا می بینَمِت.,I'm fine too. See you tomorrow.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/5.mp3
transcript_550-6,خُداحافِظ.,Bye.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/6.mp3
transcript_550-1,salaam.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/1.mp3
transcript_550-2,salaam.,Hello.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/2.mp3
transcript_550-3,chetori? khoobi?,How are you? Are you fine?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/3.mp3
transcript_550-4,man khoobam. to khoobi?,"I'm fine, how about you?",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/4.mp3
transcript_550-5,man ham khoobam. fardaa mibinamet.,I'm fine too. See you tomorrow.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/5.mp3
transcript_550-6,khodaahaafez.,Bye.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_550/6.mp3
116954,خوب,good,https://d1pra95f92lrn3.cloudfront.net/audio/116954.mp3
vocabulary-sample-3459,احساس خوبی دارم.,I feel good.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3459.mp3
vocabulary-sample-2092,او معلم خوبی است.,He's a good teacher.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2092.mp3
vocabulary-1747,من,"I, me",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/1747.mp3
vocabulary-sample-1568,من تا حالا چنین چیزی ندیدم.,I have never seen such a thing.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1568.mp3
vocabulary-sample-1565,از من عکس نگیر.,"""Don't take photos of me.""",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1565.mp3
dictionary-3368_t.bb2da3268da927d11d42a0ed7f881eab,چطوری,how,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/dictionary/3368_t.bb2da3268da927d11d42a0ed7f881eab.mp3
vocabulary-sample-3698,چطوری برم میدون انقلاب؟,How do I get to Enqelab square?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3698.mp3
vocabulary-sample-3355,بهم یاد بده چطوری از کنترل استفاده کنم.,Tell me how to use the remote control.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3355.mp3
vocabulary-sample-1634,چطوری توانستید از این راه بروید؟,How did you go by this way?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1634.mp3
vocabulary-sample-1580,چطوری بروم میدان انقلاب؟,How can I go to Enghelab Square?,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1580.mp3
vocabulary-2591,تو,you (singular),https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2591.mp3
vocabulary-sample-2093,من تو را می شناسم.,I know you.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2093.mp3
vocabulary-1615,سلام,hello,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/1615.mp3
vocabulary-sample-1432,او هیچ وقت به من سلام نمی کند.,He never says hello to me.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/1432.mp3
vocabulary-2592,فردا,tomorrow,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2592.mp3
vocabulary-sample-2094,فردا تعطیل است.,Tomorrow is a holiday.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2094.mp3
vocabulary-2593,دیدن,"to see, to watch, to look, to visit",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2593.mp3
vocabulary-sample-3223,من همیشه این نمایش تلویزیونی را می‌بینم.,I always watch this TV show.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3223.mp3
vocabulary-sample-3210,خانواده من سال آینده از رم دیدن خواهند کرد.,My family will visit Rome next year.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3210.mp3
vocabulary-sample-3160,او نتوانست صفحه را نبیند.,She couldn't stop looking at the screen.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/3160.mp3
vocabulary-sample-2628,معمولاً، هیچ ورزشی را نمی‌بینم ولی‌ دیروز استثناء قائل شدم.,"Usually, I don't watch any sports but I made an exception yesterday.",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2628.mp3
vocabulary-sample-2095,او به دیدن من آمد.,He came to see me.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2095.mp3
vocabulary-2594,خداحافظ,goodbye,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/2594.mp3
vocabulary-sample-2096,تا دفعه‌ی بعد خداحافظ.,Bye until next time.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/vocabulary/sample/2096.mp3
transcript_551-1,روز به خیر. اسم من محمودیه. من مادر سارا هستم.,Good day. My name is Mahmoodi. I'm Sara's mother.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/1.mp3
transcript_551-2,روز به خیر. من هم تهرانی، معلمش هستم.,"Good day. I'm Tehrani, her teacher.",https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/2.mp3
transcript_551-3,از دیدن شما خوشوقتم.,It's a pleasure to meet you.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/3.mp3
transcript_551-4,من هم همینطور.,It's a pleasure to meet you too.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/4.mp3
transcript_551-1,روز بهِ خِیر. اسمِ مَن مَحمودیهِ. مَن مادَرِ سارا هَستمَ.,Good day. My name is Mahmoodi. I'm Sara's mother.,https://cdn.innovativelanguage.com/persianpod101/learningcenter/audio/transcript_551/1.mp3
